event,event_time,symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,last_qty,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,open_price,high_price,low_price,base_volume,quote_volume,open_time,close_time,first_trade_id,last_trade_id,trade_count
24hrTicker,2025-06-10T15:38:17.033+07:00,ETHUSDT,189.87,7.623,2625.304647,2490.65,2680.52,1.2271,2680.51,83.8974,2680.52,4.3402,2490.65,2726.78,2488.24,776012.3835,2.04E+09,2025-06-09T15:38:17.012+07:00,2025-06-10T15:38:17.012+07:00,2508382670,2512031249,3648580
24hrTicker,2025-06-10T15:38:18.023+07:00,ETHUSDT,190.18,7.636,2625.305095,2490.65,2680.83,0.0034,2680.83,107.8877,2680.84,11.2178,2490.65,2726.78,2488.24,776018.6668,2.04E+09,2025-06-09T15:38:18.008+07:00,2025-06-10T15:38:18.008+07:00,2508382670,2512031346,3648677
24hrTicker,2025-06-10T15:38:19.033+07:00,ETHUSDT,190.19,7.636,2625.30536,2490.65,2680.83,0.0076,2680.83,100.1916,2680.84,2.2481,2490.64,2726.78,2488.24,776017.1629,2.04E+09,2025-06-09T15:38:19.013+07:00,2025-06-10T15:38:19.013+07:00,2508382689,2512031348,3648660
24hrTicker,2025-06-10T15:38:20.033+07:00,ETHUSDT,190.17,7.635,2625.30539,2490.66,2680.83,0.0656,2680.83,96.3533,2680.84,37.026,2490.66,2726.78,2488.24,776017.0675,2.04E+09,2025-06-09T15:38:20.013+07:00,2025-06-10T15:38:20.013+07:00,2508382709,2512031349,3648641
24hrTicker,2025-06-10T15:38:21.034+07:00,ETHUSDT,190.18,7.636,2625.305479,2490.66,2680.84,1.1941,2680.83,49.5783,2680.84,60.3648,2490.66,2726.78,2488.24,776018.2416,2.04E+09,2025-06-09T15:38:21.014+07:00,2025-06-10T15:38:21.014+07:00,2508382710,2512031353,3648644
24hrTicker,2025-06-10T15:38:22.033+07:00,ETHUSDT,190.17,7.635,2625.305516,2490.66,2680.83,0.1864,2680.83,18.8551,2680.84,73.9328,2490.66,2726.78,2488.24,776018.2938,2.04E+09,2025-06-09T15:38:22.014+07:00,2025-06-10T15:38:22.014+07:00,2508382711,2512031362,3648652
24hrTicker,2025-06-10T15:38:23.033+07:00,ETHUSDT,190.18,7.636,2625.305543,2490.66,2680.84,0.2736,2680.83,0.0655,2680.84,70.5158,2490.66,2726.78,2488.24,776018.5234,2.04E+09,2025-06-09T15:38:23.014+07:00,2025-06-10T15:38:23.014+07:00,2508382713,2512031368,3648656
24hrTicker,2025-06-10T15:38:24.033+07:00,ETHUSDT,190.14,7.634,2625.307328,2490.65,2680.79,0.002,2680.78,0.0339,2680.79,98.6148,2490.65,2726.78,2488.24,776009.085,2.04E+09,2025-06-09T15:38:24.011+07:00,2025-06-10T15:38:24.011+07:00,2508382720,2512031411,3648692
24hrTicker,2025-06-10T15:38:25.033+07:00,ETHUSDT,190.13,7.634,2625.307425,2490.66,2680.79,1.121,2680.78,0.0655,2680.79,97.6838,2490.66,2726.78,2488.24,776010.1081,2.04E+09,2025-06-09T15:38:24.987+07:00,2025-06-10T15:38:24.987+07:00,2508382723,2512031412,3648690
24hrTicker,2025-06-10T15:38:26.033+07:00,ETHUSDT,189.96,7.627,2625.307494,2490.65,2680.61,0.1921,2680.6,0.0248,2680.61,55.9926,2490.65,2726.78,2488.24,776010.6256,2.04E+09,2025-06-09T15:38:26.012+07:00,2025-06-10T15:38:26.012+07:00,2508382726,2512031531,3648806
24hrTicker,2025-06-10T15:38:27.033+07:00,ETHUSDT,189.94,7.626,2625.307498,2490.65,2680.6,0.0059,2680.6,51.1121,2680.61,31.9119,2490.66,2726.78,2488.24,776010.608,2.04E+09,2025-06-09T15:38:27.010+07:00,2025-06-10T15:38:27.010+07:00,2508382727,2512031533,3648807
24hrTicker,2025-06-10T15:38:28.033+07:00,ETHUSDT,189.95,7.627,2625.308578,2490.66,2680.6,0.031,2680.6,38.4331,2680.61,52.2064,2490.65,2726.78,2488.24,776005.1538,2.04E+09,2025-06-09T15:38:28.008+07:00,2025-06-10T15:38:28.008+07:00,2508382731,2512031537,3648807
24hrTicker,2025-06-10T15:38:29.033+07:00,ETHUSDT,189.95,7.626,2625.308877,2490.65,2680.61,1.12,2680.6,55.6718,2680.61,29.7341,2490.66,2726.78,2488.24,776009.1291,2.04E+09,2025-06-09T15:38:29.012+07:00,2025-06-10T15:38:29.012+07:00,2508382732,2512031540,3648809
24hrTicker,2025-06-10T15:38:30.034+07:00,ETHUSDT,189.95,7.626,2625.308891,2490.66,2680.61,1.12,2680.6,0.0643,2680.61,58.3533,2490.66,2726.78,2488.24,776009.0515,2.04E+09,2025-06-09T15:38:30.010+07:00,2025-06-10T15:38:30.010+07:00,2508382735,2512031540,3648806
24hrTicker,2025-06-10T15:38:31.033+07:00,ETHUSDT,189.75,7.618,2625.308982,2490.66,2680.41,0.002,2680.4,3.1742,2680.41,105.2529,2490.66,2726.78,2488.24,776010.1266,2.04E+09,2025-06-09T15:38:30.989+07:00,2025-06-10T15:38:30.989+07:00,2508382737,2512031633,3648897
24hrTicker,2025-06-10T15:38:32.032+07:00,ETHUSDT,189.75,7.618,2625.309239,2490.66,2680.41,0.0657,2680.4,17.4413,2680.41,103.6686,2490.66,2726.78,2488.24,776008.7342,2.04E+09,2025-06-09T15:38:31.997+07:00,2025-06-10T15:38:31.997+07:00,2508382742,2512031634,3648893
24hrTicker,2025-06-10T15:38:33.023+07:00,ETHUSDT,189.75,7.618,2625.309319,2490.66,2680.41,1.1857,2680.4,6.1789,2680.41,93.8461,2490.66,2726.78,2488.24,776009.8542,2.04E+09,2025-06-09T15:38:33.013+07:00,2025-06-10T15:38:33.013+07:00,2508382742,2512031635,3648894
24hrTicker,2025-06-10T15:38:34.023+07:00,ETHUSDT,189.33,7.602,2625.309852,2490.66,2679.99,1.7898,2679.99,0.0219,2680,116.0589,2490.66,2726.78,2488.24,776017.3964,2.04E+09,2025-06-09T15:38:33.996+07:00,2025-06-10T15:38:33.996+07:00,2508382742,2512031811,3649070
24hrTicker,2025-06-10T15:38:35.033+07:00,ETHUSDT,189.33,7.602,2625.309999,2490.66,2679.99,1.7898,2679.99,0.0359,2680,111.8841,2490.66,2726.78,2488.24,776016.5471,2.04E+09,2025-06-09T15:38:35.014+07:00,2025-06-10T15:38:35.014+07:00,2508382743,2512031811,3649069
24hrTicker,2025-06-10T15:38:36.033+07:00,ETHUSDT,189.11,7.593,2625.310037,2490.65,2679.77,0.0142,2679.76,0.0254,2679.77,113.6687,2490.66,2726.78,2488.24,776017.0089,2.04E+09,2025-06-09T15:38:36.014+07:00,2025-06-10T15:38:36.014+07:00,2508382745,2512031902,3649158
24hrTicker,2025-06-10T15:38:37.023+07:00,ETHUSDT,189.11,7.593,2625.310115,2490.65,2679.77,1.1342,2679.76,0.0274,2679.77,111.1783,2490.66,2726.78,2488.24,776018.1289,2.04E+09,2025-06-09T15:38:37.011+07:00,2025-06-10T15:38:37.011+07:00,2508382745,2512031904,3649160
24hrTicker,2025-06-10T15:38:38.033+07:00,ETHUSDT,188.88,7.584,2625.310183,2490.66,2679.53,0.0705,2679.53,24.4959,2679.54,99.6229,2490.65,2726.78,2488.24,776018.8763,2.04E+09,2025-06-09T15:38:38.009+07:00,2025-06-10T15:38:38.009+07:00,2508382747,2512031992,3649246
24hrTicker,2025-06-10T15:38:39.033+07:00,ETHUSDT,188.87,7.583,2625.310186,2490.65,2679.53,0.0948,2679.53,57.0985,2679.54,19.7485,2490.66,2726.78,2488.24,776018.8882,2.04E+09,2025-06-09T15:38:39.013+07:00,2025-06-10T15:38:39.013+07:00,2508382748,2512031996,3649249
24hrTicker,2025-06-10T15:38:40.023+07:00,ETHUSDT,188.88,7.584,2625.310256,2490.65,2679.54,1,2679.53,79.518,2679.54,17.294,2490.66,2726.78,2488.24,776019.8882,2.04E+09,2025-06-09T15:38:39.968+07:00,2025-06-10T15:38:39.968+07:00,2508382748,2512031997,3649250
24hrTicker,2025-06-10T15:38:41.025+07:00,ETHUSDT,188.88,7.584,2625.312488,2490.66,2679.54,2.12,2679.53,39.7596,2679.54,35.4752,2490.66,2726.78,2488.24,776008.6,2.04E+09,2025-06-09T15:38:40.961+07:00,2025-06-10T15:38:40.961+07:00,2508382753,2512032000,3649248
24hrTicker,2025-06-10T15:38:42.033+07:00,ETHUSDT,188.89,7.584,2625.312527,2490.66,2679.54,2.2227,2679.53,39.7627,2679.54,35.3794,2490.65,2726.78,2488.24,776008.518,2.04E+09,2025-06-09T15:38:41.919+07:00,2025-06-10T15:38:41.919+07:00,2508382754,2512032002,3649249
24hrTicker,2025-06-10T15:38:43.024+07:00,ETHUSDT,188.88,7.584,2625.312599,2490.66,2679.53,0.6662,2679.53,33.5581,2679.54,75.2373,2490.65,2726.78,2488.24,776009.5573,2.04E+09,2025-06-09T15:38:42.999+07:00,2025-06-10T15:38:42.999+07:00,2508382754,2512032006,3649253
24hrTicker,2025-06-10T15:38:44.033+07:00,ETHUSDT,188.89,7.584,2625.312937,2490.65,2679.54,0.219,2679.53,32.946,2679.54,68.3763,2490.65,2726.78,2488.24,776007.9176,2.04E+09,2025-06-09T15:38:44.004+07:00,2025-06-10T15:38:44.004+07:00,2508382758,2512032011,3649254
24hrTicker,2025-06-10T15:38:45.033+07:00,ETHUSDT,189.17,7.596,2625.316064,2490.37,2679.54,1.12,2679.53,72.9566,2679.54,44.8467,2490.37,2726.78,2488.24,775991.5932,2.04E+09,2025-06-09T15:38:45.011+07:00,2025-06-10T15:38:45.011+07:00,2508382829,2512032014,3649186
24hrTicker,2025-06-10T15:38:46.037+07:00,ETHUSDT,189.39,7.605,2625.317337,2490.37,2679.77,2.2283,2679.77,89.3163,2679.78,0.0359,2490.38,2726.78,2488.24,776009.7524,2.04E+09,2025-06-09T15:38:46.014+07:00,2025-06-10T15:38:46.014+07:00,2508382830,2512032119,3649290
24hrTicker,2025-06-10T15:38:17.023+07:00,BTCUSDT,3521.65,3.331,108641.2123,105719.99,109241.63,0.00568,109241.63,2.98959,109241.64,5.12745,105719.98,110530.17,105687.95,21454.20429,2.33E+09,2025-06-09T15:38:17.001+07:00,2025-06-10T15:38:17.001+07:00,4993820660,4996875720,3055061
24hrTicker,2025-06-10T15:38:18.023+07:00,BTCUSDT,3521.64,3.331,108641.2172,105719.98,109241.63,0.00575,109241.63,2.99872,109241.64,5.12822,105719.99,110530.17,105687.95,21454.16832,2.33E+09,2025-06-09T15:38:18.008+07:00,2025-06-10T15:38:18.008+07:00,4993820673,4996875721,3055049
24hrTicker,2025-06-10T15:38:19.023+07:00,BTCUSDT,3521.66,3.331,108641.2227,105719.99,109241.64,1.80E-04,109241.63,2.99881,109241.64,5.1277,105719.98,110530.17,105687.95,21454.12823,2.33E+09,2025-06-09T15:38:19.001+07:00,2025-06-10T15:38:19.001+07:00,4993820677,4996875724,3055048
24hrTicker,2025-06-10T15:38:20.023+07:00,BTCUSDT,3521.65,3.331,108641.2401,105719.99,109241.64,4.20E-04,109241.63,2.99878,109241.64,5.58583,105719.99,110530.17,105687.95,21454.00087,2.33E+09,2025-06-09T15:38:20.001+07:00,2025-06-10T15:38:20.001+07:00,4993820686,4996875725,3055040
24hrTicker,2025-06-10T15:38:21.023+07:00,BTCUSDT,3521.66,3.331,108641.2439,105719.99,109241.64,0.09162,109241.63,2.11335,109241.64,5.03125,105719.98,110530.17,105687.95,21454.08302,2.33E+09,2025-06-09T15:38:21.012+07:00,2025-06-10T15:38:21.012+07:00,4993820696,4996875726,3055031
